STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,NL,2012,520.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,NO,2012,194.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,PL,2012,373.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,PT,2012,96.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,RO,2012,208.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,SE,2012,230.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,SI,2012,27.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,SK,2012,78.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,UK,2012,1435.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,AT,2012,188.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,BE,2012,176.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,BG,2012,91.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,CY,2012,14.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,CZ,2012,82.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,DE,2012,2671.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,DK,2012,129.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,EE,2012,21.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,EEA,2012,8251.1,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,EL,2012,121.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,ES,2012,429.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,EU27_2007,2012,8092.8,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,FI,2012,89.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,FR,2012,858.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,HU,2012,171.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,M,IS,2012,6.2,
