STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,deviatn,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_4,EU_V,2005,25.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_5,EU_V,2005,22.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_6,EU_V,2005,15.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_7,EU_V,2005,19.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_8,EU_V,2005,2.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,UNK,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,UNK,DEV_2,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,UNK,DEV_3,EU_V,2005,12.6,
