STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,SI,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,SK,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,AT,2008,12.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,BE,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,BG,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,CY,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,CZ,2008,10.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,EL,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,ES,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,IN,PC,FR,2008,9.7,
