STRUCTURE,STRUCTURE_ID,freq,unit,quantile,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,FR,2012,1251.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,HU,2012,525.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,IS,2012,7.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,IT,2012,996.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,LT,2012,95.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,LU,2012,12.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,LV,2012,112.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,MT,2012,10.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,NL,2012,425.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,NO,2012,155.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,PL,2012,957.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,PT,2012,71.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,RO,2012,1314.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,SE,2012,180.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,SI,2012,73.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,SK,2012,227.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,UK,2012,2342.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,AT,2012,162.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,BE,2012,123.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,BG,2012,205.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,CY,2012,6.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,CZ,2012,107.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,DE,2012,2305.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,DK,2012,128.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,EE,2012,22.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,EEA,2012,9687.8,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,EL,2012,105.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,ES,2012,657.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,EU27_2007,2012,9606.4,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,FI,2012,128.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,FR,2012,685.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,HU,2012,275.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,M,IS,2012,3.9,
